Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
0,1,34.4618,0.03686,29.381,30.651,31.921,33.192,34.462,35.732,37.002,38.273,39.543
1,1,34.562,0.03656,29.508,30.771,32.035,33.298,34.562,35.826,37.089,38.353,39.616
2,1,34.6622,0.03625,29.636,30.893,32.149,33.406,34.662,35.919,37.175,38.432,39.688
3,1,34.7625,0.03595,29.764,31.013,32.263,33.513,34.762,36.012,37.262,38.512,39.761
4,1,34.8627,0.03564,29.893,31.135,32.378,33.62,34.863,36.105,37.348,38.59,39.833
5,1,34.9629,0.03533,30.022,31.257,32.492,33.728,34.963,36.198,37.433,38.669,39.904
6,1,35.0631,0.03503,30.15,31.378,32.607,33.835,35.063,36.291,37.52,38.748,39.976
7,1,35.1634,0.03472,30.28,31.501,32.722,33.943,35.163,36.384,37.605,38.826,40.047
8,1,35.2636,0.03441,30.41,31.623,32.837,34.05,35.264,36.477,37.69,38.904,40.117
9,1,35.3638,0.03411,30.539,31.745,32.951,34.158,35.364,36.57,37.776,38.983,40.189
10,1,35.464,0.0338,30.669,31.868,33.067,34.265,35.464,36.663,37.861,39.06,40.259
11,1,35.5643,0.0335,30.799,31.99,33.181,34.373,35.564,36.756,37.947,39.139,40.33
12,1,35.6645,0.03319,30.93,32.113,33.297,34.481,35.664,36.848,38.032,39.216,40.399
13,1,35.7647,0.03288,31.061,32.237,33.413,34.589,35.765,36.941,38.117,39.293,40.468
14,1,35.8649,0.03258,31.191,32.359,33.528,34.696,35.865,37.033,38.202,39.37,40.539
15,1,35.9652,0.03248,31.293,32.461,33.629,34.797,35.965,37.133,38.301,39.47,40.638
16,1,36.0632,0.03239,31.391,32.559,33.727,34.895,36.063,37.231,38.399,39.567,40.736
17,1,36.159,0.0323,31.487,32.655,33.823,34.991,36.159,37.327,38.495,39.663,40.831
18,1,36.2526,0.03221,31.582,32.75,33.917,35.085,36.253,37.42,38.588,39.756,40.923
19,1,36.3441,0.03213,31.673,32.841,34.009,35.176,36.344,37.512,38.68,39.847,41.015
20,1,36.4338,0.03205,31.763,32.931,34.098,35.266,36.434,37.602,38.769,39.937,41.105
21,1,36.5216,0.03197,31.851,33.019,34.186,35.354,36.522,37.689,38.857,40.024,41.192
22,1,36.6078,0.03189,31.938,33.106,34.273,35.44,36.608,37.775,38.943,40.11,41.277
23,1,36.6922,0.03182,32.022,33.19,34.357,35.525,36.692,37.86,39.027,40.195,41.362
24,1,36.7751,0.03175,32.105,33.272,34.44,35.607,36.775,37.943,39.11,40.278,41.446
25,1,36.8566,0.03168,32.186,33.354,34.521,35.689,36.857,38.024,39.192,40.359,41.527
26,1,36.9366,0.03161,32.266,33.434,34.601,35.769,36.937,38.104,39.272,40.439,41.607
27,1,37.0152,0.03154,32.345,33.513,34.68,35.848,37.015,38.183,39.35,40.518,41.685
28,1,37.0926,0.03148,32.422,33.59,34.757,35.925,37.093,38.26,39.428,40.596,41.763
29,1,37.1687,0.03141,32.499,33.666,34.834,36.001,37.169,38.336,39.504,40.671,41.839
30,1,37.2435,0.03135,32.573,33.741,34.908,36.076,37.244,38.411,39.579,40.746,41.914
31,1,37.3172,0.03129,32.647,33.814,34.982,36.15,37.317,38.485,39.653,40.82,41.988
32,1,37.3898,0.03123,32.719,33.887,35.054,36.222,37.39,38.557,39.725,40.893,42.061
33,1,37.4612,0.03118,32.789,33.957,35.125,36.293,37.461,38.629,39.797,40.965,42.133
34,1,37.5316,0.03112,32.86,34.028,35.196,36.364,37.532,38.7,39.868,41.036,42.204
35,1,37.601,0.03107,32.928,34.096,35.264,36.433,37.601,38.769,39.938,41.106,42.274
36,1,37.6694,0.03101,32.997,34.165,35.333,36.501,37.669,38.838,40.006,41.174,42.342
37,1,37.7368,0.03096,33.063,34.232,35.4,36.568,37.737,38.905,40.073,41.242,42.41
38,1,37.8034,0.03091,33.129,34.298,35.466,36.635,37.803,38.972,40.14,41.309,42.477
39,1,37.869,0.03086,33.194,34.363,35.532,36.7,37.869,39.038,40.206,41.375,42.544
40,1,37.9338,0.03081,33.259,34.428,35.596,36.765,37.934,39.103,40.271,41.44,42.609
41,1,37.9978,0.03076,33.323,34.491,35.66,36.829,37.998,39.167,40.335,41.504,42.673
42,1,38.0609,0.03072,33.384,34.553,35.722,36.892,38.061,39.23,40.399,41.569,42.738
43,1,38.1233,0.03067,33.446,34.616,35.785,36.954,38.123,39.293,40.462,41.631,42.8
44,1,38.185,0.03062,33.508,34.677,35.847,37.016,38.185,39.354,40.523,41.693,42.862
45,1,38.2459,0.03058,33.568,34.737,35.907,37.076,38.246,39.415,40.585,41.755,42.924
46,1,38.3061,0.03054,33.627,34.796,35.966,37.136,38.306,39.476,40.646,41.816,42.986
47,1,38.3655,0.03049,33.686,34.856,36.026,37.196,38.366,39.535,40.705,41.875,43.045
48,1,38.4243,0.03045,33.744,34.914,36.084,37.254,38.424,39.594,40.764,41.934,43.104
49,1,38.4824,0.03041,33.801,34.972,36.142,37.312,38.482,39.653,40.823,41.993,43.163
50,1,38.5399,0.03037,33.858,35.029,36.199,37.369,38.54,39.71,40.881,42.051,43.222
51,1,38.5968,0.03033,33.914,35.085,36.256,37.426,38.597,39.767,40.938,42.109,43.279
52,1,38.653,0.03029,33.97,35.141,36.311,37.482,38.653,39.824,40.995,42.165,43.336
53,1,38.7087,0.03025,34.025,35.196,36.367,37.538,38.709,39.88,41.051,42.222,43.392
54,1,38.7638,0.03021,34.08,35.251,36.422,37.593,38.764,39.935,41.106,42.277,43.448
55,1,38.8183,0.03018,34.132,35.304,36.475,37.647,38.818,39.99,41.161,42.333,43.504
56,1,38.8724,0.03014,34.186,35.358,36.529,37.701,38.872,40.044,41.216,42.387,43.559
57,1,38.9258,0.0301,34.239,35.411,36.582,37.754,38.926,40.097,41.269,42.441,43.612
58,1,38.9788,0.03007,34.29,35.463,36.635,37.807,38.979,40.151,41.323,42.495,43.667
59,1,39.0313,0.03003,34.343,35.515,36.687,37.859,39.031,40.203,41.376,42.548,43.72
60,1,39.0834,0.03,34.393,35.566,36.738,37.911,39.083,40.256,41.428,42.601,43.773
61,1,39.1349,0.02997,34.443,35.616,36.789,37.962,39.135,40.308,41.481,42.654,43.826
62,1,39.1861,0.02993,34.495,35.668,36.84,38.013,39.186,40.359,41.532,42.705,43.877
63,1,39.2368,0.0299,34.544,35.717,36.89,38.064,39.237,40.41,41.583,42.756,43.93
64,1,39.2871,0.02987,34.593,35.767,36.94,38.114,39.287,40.461,41.634,42.808,43.981
65,1,39.3369,0.02984,34.642,35.815,36.989,38.163,39.337,40.511,41.685,42.858,44.032
66,1,39.3863,0.02981,34.69,35.864,37.038,38.212,39.386,40.56,41.735,42.909,44.083
67,1,39.4353,0.02978,34.738,35.912,37.087,38.261,39.435,40.61,41.784,42.958,44.133
68,1,39.4838,0.02975,34.785,35.96,37.135,38.309,39.484,40.658,41.833,43.008,44.182
69,1,39.532,0.02972,34.832,36.007,37.182,38.357,39.532,40.707,41.882,43.057,44.232
70,1,39.5797,0.02969,34.879,36.054,37.229,38.405,39.58,40.755,41.93,43.105,44.28
