Day,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,1,49.8842,0.03795,44.034,45.48,46.324,46.77,47.458,47.922,48.607,49.884,51.161,51.846,52.31,52.998,53.445,54.288,55.734
1,1,50.0601,0.03785,44.205,45.652,46.496,46.943,47.632,48.096,48.782,50.06,51.338,52.024,52.488,53.177,53.624,54.468,55.915
2,1,50.2359,0.03775,44.376,45.824,46.669,47.117,47.806,48.27,48.957,50.236,51.515,52.201,52.666,53.355,53.803,54.648,56.096
3,1,50.4118,0.03764,44.548,45.998,46.843,47.291,47.98,48.445,49.132,50.412,51.692,52.378,52.844,53.533,53.981,54.826,56.276
4,1,50.5876,0.03754,44.719,46.17,47.016,47.464,48.154,48.619,49.307,50.588,51.868,52.556,53.021,53.711,54.159,55.005,56.456
5,1,50.7635,0.03744,44.89,46.342,47.189,47.637,48.328,48.794,49.482,50.764,52.045,52.733,53.199,53.89,54.338,55.185,56.637
6,1,50.9393,0.03734,45.061,46.514,47.362,47.811,48.502,48.968,49.656,50.939,52.222,52.911,53.377,54.068,54.517,55.364,56.817
7,1,51.1152,0.03723,45.234,46.688,47.536,47.985,48.676,49.143,49.832,51.115,52.399,53.088,53.554,54.245,54.694,55.542,56.996
8,1,51.291,0.03713,45.406,46.861,47.709,48.158,48.85,49.317,50.006,51.291,52.576,53.265,53.732,54.424,54.873,55.721,57.176
9,1,51.4669,0.03703,45.577,47.033,47.882,48.332,49.024,49.492,50.181,51.467,52.752,53.442,53.909,54.602,55.051,55.9,57.356
10,1,51.6427,0.03693,45.749,47.206,48.056,48.506,49.199,49.666,50.356,51.643,52.929,53.619,54.087,54.78,55.23,56.079,57.536
11,1,51.8186,0.03682,45.923,47.38,48.23,48.68,49.373,49.841,50.532,51.819,53.106,53.796,54.264,54.957,55.407,56.257,57.715
12,1,51.9944,0.03672,46.094,47.553,48.404,48.854,49.548,50.016,50.707,51.994,53.282,53.973,54.441,55.135,55.585,56.436,57.894
13,1,52.1702,0.03662,46.266,47.726,48.577,49.028,49.722,50.19,50.882,52.17,53.459,54.15,54.619,55.313,55.763,56.615,58.074
14,1,52.3461,0.03652,46.439,47.899,48.751,49.202,49.896,50.365,51.057,52.346,53.636,54.327,54.796,55.491,55.942,56.793,58.254
15,1,52.4978,0.03645,46.585,48.046,48.899,49.35,50.045,50.515,51.207,52.498,53.788,54.481,54.95,55.645,56.097,56.949,58.411
16,1,52.6488,0.03639,46.728,48.192,49.045,49.497,50.193,50.663,51.357,52.649,53.941,54.634,55.104,55.8,56.252,57.106,58.569
17,1,52.799,0.03633,46.871,48.337,49.191,49.644,50.341,50.811,51.505,52.799,54.093,54.787,55.257,55.954,56.407,57.261,58.727
18,1,52.9483,0.03627,47.014,48.481,49.336,49.789,50.487,50.958,51.653,52.948,54.244,54.939,55.409,56.107,56.56,57.416,58.883
19,1,53.0967,0.03621,47.155,48.624,49.481,49.934,50.633,51.104,51.8,53.097,54.393,55.089,55.561,56.259,56.713,57.569,59.038
20,1,53.2441,0.03615,47.296,48.766,49.624,50.078,50.777,51.249,51.946,53.244,54.542,55.239,55.711,56.41,56.864,57.722,59.192
21,1,53.3905,0.03609,47.436,48.908,49.766,50.221,50.921,51.393,52.091,53.391,54.69,55.388,55.86,56.56,57.015,57.873,59.345
22,1,53.536,0.03603,47.575,49.049,49.908,50.363,51.064,51.537,52.235,53.536,54.837,55.535,56.008,56.709,57.164,58.023,59.497
23,1,53.6805,0.03597,47.714,49.189,50.049,50.504,51.206,51.679,52.378,53.681,54.983,55.682,56.155,56.857,57.312,58.172,59.647
24,1,53.8239,0.03592,47.849,49.326,50.188,50.644,51.346,51.82,52.52,53.824,55.128,55.828,56.302,57.004,57.46,58.322,59.798
25,1,53.9664,0.03586,47.986,49.464,50.327,50.783,51.486,51.961,52.661,53.966,55.272,55.972,56.447,57.15,57.606,58.468,59.947
26,1,54.1079,0.03581,48.12,49.6,50.464,50.921,51.625,52.1,52.801,54.108,55.415,56.116,56.591,57.295,57.752,58.615,60.096
27,1,54.2485,0.03575,48.255,49.737,50.601,51.058,51.763,52.238,52.94,54.249,55.557,56.259,56.734,57.439,57.896,58.76,60.242
28,1,54.3881,0.0357,48.388,49.871,50.736,51.194,51.9,52.376,53.078,54.388,55.698,56.4,56.876,57.582,58.04,58.905,60.388
29,1,54.5268,0.03565,48.52,50.005,50.871,51.329,52.036,52.512,53.216,54.527,55.838,56.542,57.018,57.724,58.183,59.049,60.534
30,1,54.6645,0.03559,48.652,50.139,51.005,51.464,52.171,52.648,53.352,54.665,55.977,56.681,57.158,57.865,58.324,59.19,60.677
31,1,54.8012,0.03554,48.783,50.27,51.138,51.598,52.305,52.783,53.488,54.801,56.115,56.82,57.297,58.005,58.464,59.332,60.82
32,1,54.9368,0.03549,48.912,50.401,51.27,51.73,52.438,52.916,53.622,54.937,56.252,56.958,57.435,58.144,58.604,59.472,60.962
33,1,55.0714,0.03544,49.04,50.531,51.401,51.861,52.57,53.049,53.755,55.071,56.388,57.094,57.573,58.282,58.742,59.612,61.103
34,1,55.2049,0.03539,49.168,50.66,51.53,51.991,52.701,53.18,53.887,55.205,56.523,57.23,57.709,58.418,58.879,59.75,61.242
35,1,55.3374,0.03534,49.294,50.788,51.659,52.121,52.831,53.311,54.018,55.337,56.656,57.364,57.844,58.554,59.016,59.887,61.381
36,1,55.4688,0.03529,49.42,50.915,51.787,52.249,52.96,53.44,54.148,55.469,56.789,57.498,57.977,58.689,59.15,60.023,61.518
37,1,55.5992,0.03524,49.544,51.041,51.914,52.376,53.088,53.568,54.278,55.599,56.921,57.63,58.11,58.822,59.284,60.157,61.654
38,1,55.7285,0.0352,49.667,51.165,52.039,52.502,53.215,53.695,54.405,55.729,57.052,57.762,58.242,58.955,59.418,60.292,61.79
39,1,55.8568,0.03515,49.79,51.289,52.164,52.627,53.341,53.822,54.533,55.857,57.181,57.892,58.373,59.086,59.549,60.424,61.924
40,1,55.9841,0.0351,49.912,51.413,52.288,52.752,53.466,53.947,54.659,55.984,57.31,58.021,58.502,59.216,59.68,60.555,62.057
41,1,56.1104,0.03506,50.031,51.534,52.41,52.875,53.589,54.071,54.784,56.11,57.437,58.149,58.632,59.346,59.81,60.687,62.19
42,1,56.2357,0.03501,50.152,51.656,52.533,52.997,53.713,54.195,54.908,56.236,57.564,58.276,58.759,59.474,59.939,60.816,62.32
43,1,56.3599,0.03496,50.271,51.776,52.654,53.119,53.835,54.318,55.031,56.36,57.689,58.402,58.885,59.601,60.066,60.944,62.449
44,1,56.4833,0.03492,50.388,51.895,52.774,53.239,53.956,54.439,55.153,56.483,57.814,58.528,59.011,59.728,60.193,61.072,62.578
45,1,56.6056,0.03488,50.504,52.012,52.892,53.358,54.075,54.559,55.274,56.606,57.937,58.652,59.136,59.853,60.319,61.199,62.707
46,1,56.7269,0.03483,50.621,52.131,53.011,53.477,54.195,54.679,55.394,56.727,58.06,58.775,59.259,59.977,60.443,61.323,62.833
47,1,56.8472,0.03479,50.736,52.246,53.128,53.594,54.313,54.797,55.513,56.847,58.181,58.897,59.382,60.1,60.567,61.448,62.959
