Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4
0,1,49.8842,0.03795,42.312,44.205,46.098,47.991,49.884,51.777,53.67,55.564,57.457
1,1,50.0601,0.03785,42.481,44.376,46.271,48.165,50.06,51.955,53.85,55.744,57.639
2,1,50.2359,0.03775,42.65,44.547,46.443,48.339,50.236,52.132,54.029,55.925,57.822
3,1,50.4118,0.03764,42.822,44.719,46.617,48.514,50.412,52.309,54.207,56.104,58.002
4,1,50.5876,0.03754,42.991,44.89,46.789,48.689,50.588,52.487,54.386,56.285,58.184
5,1,50.7635,0.03744,43.161,45.062,46.962,48.863,50.764,52.664,54.565,56.465,58.366
6,1,50.9393,0.03734,43.331,45.233,47.135,49.037,50.939,52.841,54.743,56.646,58.548
7,1,51.1152,0.03723,43.503,45.406,47.309,49.212,51.115,53.018,54.921,56.824,58.727
8,1,51.291,0.03713,43.673,45.578,47.482,49.387,51.291,53.195,55.1,57.004,58.909
9,1,51.4669,0.03703,43.844,45.749,47.655,49.561,51.467,53.373,55.279,57.184,59.09
10,1,51.6427,0.03693,44.014,45.921,47.828,49.736,51.643,53.55,55.457,57.364,59.271
11,1,51.8186,0.03682,44.187,46.095,48.003,49.911,51.819,53.727,55.635,57.542,59.45
12,1,51.9944,0.03672,44.357,46.267,48.176,50.085,51.994,53.904,55.813,57.722,59.631
13,1,52.1702,0.03662,44.528,46.439,48.349,50.26,52.17,54.081,55.991,57.902,59.812
14,1,52.3461,0.03652,44.699,46.611,48.523,50.434,52.346,54.258,56.169,58.081,59.993
15,1,52.4978,0.03645,44.844,46.757,48.671,50.584,52.498,54.411,56.325,58.238,60.152
16,1,52.6488,0.03639,44.985,46.901,48.817,50.733,52.649,54.565,56.481,58.396,60.312
17,1,52.799,0.03633,45.126,47.044,48.963,50.881,52.799,54.717,56.635,58.554,60.472
18,1,52.9483,0.03627,45.267,47.187,49.107,51.028,52.948,54.869,56.789,58.71,60.63
19,1,53.0967,0.03621,45.406,47.329,49.251,51.174,53.097,55.019,56.942,58.865,60.787
20,1,53.2441,0.03615,45.545,47.47,49.395,51.319,53.244,55.169,57.094,59.018,60.943
21,1,53.3905,0.03609,45.683,47.61,49.537,51.464,53.39,55.317,57.244,59.171,61.098
22,1,53.536,0.03603,45.82,47.749,49.678,51.607,53.536,55.465,57.394,59.323,61.252
23,1,53.6805,0.03597,45.957,47.888,49.819,51.75,53.68,55.611,57.542,59.473,61.404
24,1,53.8239,0.03592,46.09,48.024,49.957,51.891,53.824,55.757,57.691,59.624,61.557
25,1,53.9664,0.03586,46.225,48.161,50.096,52.031,53.966,55.902,57.837,59.772,61.707
26,1,54.1079,0.03581,46.357,48.295,50.233,52.17,54.108,56.046,57.983,59.921,61.858
27,1,54.2485,0.03575,46.491,48.43,50.37,52.309,54.248,56.188,58.127,60.067,62.006
28,1,54.3881,0.0357,46.621,48.563,50.505,52.446,54.388,56.33,58.271,60.213,62.155
29,1,54.5268,0.03565,46.751,48.695,50.639,52.583,54.527,56.471,58.415,60.358,62.302
30,1,54.6645,0.03559,46.882,48.828,50.773,52.719,54.664,56.61,58.556,60.501,62.447
31,1,54.8012,0.03554,47.011,48.958,50.906,52.854,54.801,56.749,58.696,60.644,62.592
32,1,54.9368,0.03549,47.138,49.088,51.037,52.987,54.937,56.887,58.836,60.786,62.736
33,1,55.0714,0.03544,47.264,49.216,51.168,53.12,55.071,57.023,58.975,60.927,62.878
34,1,55.2049,0.03539,47.39,49.344,51.297,53.251,55.205,57.159,59.112,61.066,63.02
35,1,55.3374,0.03534,47.515,49.471,51.426,53.382,55.337,57.293,59.249,61.204,63.16
36,1,55.4688,0.03529,47.639,49.596,51.554,53.511,55.469,57.426,59.384,61.341,63.299
37,1,55.5992,0.03524,47.762,49.721,51.681,53.64,55.599,57.559,59.518,61.477,63.436
38,1,55.7285,0.0352,47.882,49.844,51.805,53.767,55.728,57.69,59.652,61.613,63.575
